İlanda İstenilen Bölüm Bilgisi,2019-1,2019-10,2019-11,2019-12,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2020-1,2020-10,2020-11,2020-12,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9
Makine,4,3,1,3,0,1,1,0,0,0,5,0,3,1,0,1,2,0,1,1,1,0,1,1
Makine (MYO),1,1,0,2,2,1,1,1,0,0,4,4,0,1,4,1,1,5,0,0,0,0,3,3
Makine Mühendisliği,51,40,58,53,46,52,50,35,44,57,33,49,53,53,61,75,52,57,10,30,48,50,42,64
Makine Resim ve Konstrüksiyon ,1,1,1,1,1,2,0,0,2,0,3,2,1,0,1,1,1,0,0,0,1,0,1,2
Makine Resmi ve Konstrüksiyonu Öğretmenliği,1,1,1,0,1,2,0,1,1,0,3,1,1,0,0,1,1,0,0,0,1,0,0,2
Makine ve Metal Teknolojileri,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Makine-Resim-Konstrüksiyon (MYO),3,0,1,2,2,0,0,0,2,0,3,2,1,2,0,0,1,0,0,1,1,1,0,1
Maliye,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Maliye (MYO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Malzeme Bilimi ve Mühendisliği,0,2,4,0,4,0,5,0,3,0,1,1,2,2,1,5,2,2,0,1,1,0,1,0
Malzeme Bilimi ve Nanoteknoloji Mühendisliği,1,1,3,1,0,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Malzeme Mühendisliği,3,4,4,2,1,0,5,0,3,2,1,0,2,4,2,4,1,2,0,1,2,0,2,3
Matbaa Öğretmenliği,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Matbaacılık (MYO),0,0,1,0,2,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,3,0,1
Matematik,9,10,13,12,9,11,10,10,4,12,10,10,17,45,53,55,14,8,5,6,33,34,36,39
Matematik Mühendisliği,22,40,29,44,18,28,27,34,23,25,31,34,47,149,153,156,37,42,26,36,106,109,112,145
Matematik Öğretmenliği,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Matematik-Bilgisayar,9,9,8,10,7,15,3,11,10,12,7,11,14,30,32,27,7,6,6,7,14,15,18,22
Medya ve İletişim ,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
Mekatronik (MYO),1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1
Mekatronik Mühendisliği,15,9,16,21,21,18,13,16,18,19,11,15,20,28,35,52,23,18,1,6,29,16,24,20
Mekatronik Öğretmenliği,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1
Metal Öğretmenliği,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Metalurji Malzeme (MYO),0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Metalurji ve Malzeme Mühendisliği,5,5,8,8,4,7,13,2,11,8,4,9,10,14,9,17,11,8,2,7,5,5,7,13
Meteoroloji Mühendisliği,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mikroelektronik Mühendisliği,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0
Mimari Dekoratif Sanatlar (MYO),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mimari Restorasyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0
Mimarlık,4,9,7,10,4,6,3,4,8,3,5,7,7,16,8,10,3,6,1,7,12,9,2,10
Mobil Teknolojileri,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mobilya ve Dekorasyon (MYO),0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Mobilya ve Dekorasyon Öğretmenliği,0,2,0,0,2,0,1,0,1,1,0,0,2,1,1,0,1,0,0,0,1,0,0,0
Mobilya ve İç Mekan Tasarımı,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Moda Tasarımı,0,0,0,0,0,0,1,0,1,0,1,0,1,3,2,1,2,1,1,0,0,1,0,1
Moda Tasarımı (MYO),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1
Moda Tasarımı Öğretmenliği,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Moda ve Tekstil Tasarımı,0,0,2,1,0,0,0,1,1,0,2,1,1,3,0,2,2,0,1,0,0,0,0,2
Moda ve Tekstil Tasarımı (MYO),0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0
Moleküler Biyoloji ve Genetik,1,1,1,2,0,1,2,1,1,1,2,0,3,1,3,3,3,1,1,2,3,0,1,1
Muhasebe,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,2,1,0,0,0,1,1,1,0
Muhasebe (MYO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Muhasebe Bilgi Sistemleri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Muhasebe ve Finansal Yönetim,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
Mühendislik Yönetimi,0,0,0,2,0,1,0,2,0,0,0,1,2,2,0,0,0,2,0,1,3,0,0,0
Mühendislik ve Doğa Bilimleri Programları,0,2,0,1,2,2,2,1,1,1,1,5,1,4,5,9,2,3,1,4,1,4,2,1
Mütercim Tercümanlık,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mütercim-Tercümanlık (Almanca) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mütercim-Tercümanlık (İngilizce),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nükleer Enerji Mühendisliği,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optisyenlik (MYO),1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Orman Endüstri Mühendisliği,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0
Orman Mühendisliği,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Otomotiv Mühendisliği,3,5,5,6,5,0,2,3,4,4,4,4,8,8,10,10,4,1,0,2,2,2,5,9
Otomotiv Öğretmenliği,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Patoloji Laboratuvar (MYO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pazarlama,2,0,0,1,0,1,2,0,1,0,2,4,2,2,3,2,1,1,0,0,3,0,0,2
Pazarlama (MYO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Pazarlama ve Halkla İlişkiler ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Petrol ve Doğalgaz Mühendisliği ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Peyzaj Mimarlığı,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Plastik Teknolojisi (MYO),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polimer Bilimi ve Teknolojisi,1,1,0,1,2,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1
Polimer Mühendisliği,2,1,0,1,2,2,0,0,0,2,0,0,2,3,3,3,1,4,0,1,1,3,0,3
Psikoloji,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Radyo ve Televizyon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Radyo ve Televizyon Yayımcılığı (MYO),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Radyo, Sinema ve Televizyon",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raylı Sistemler Mühendisliği,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rehberlik ve Psikolojik Danışmanlık,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Reklam Tasarımı ve İletişimi,2,0,1,1,1,2,0,1,1,0,0,0,2,2,4,3,1,1,0,3,2,2,1,5
Reklamcılık,1,0,1,1,0,1,0,0,0,0,0,0,3,4,1,1,0,0,0,0,2,0,0,2
Resim,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Restorasyon (MYO),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sahne Tasarımı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sanat Tasarımı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sanat Yönetimi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Sanat ve Sosyal Bilimler Programları,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Satış Yönetimi (MYO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Seramik (MYO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Seramik Mühendisliği,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
Seramik ve Cam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sistem Mühendisliği,2,3,5,3,1,1,0,0,1,0,1,3,3,4,13,11,1,2,0,1,4,5,7,4
Siyaset Bilimi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Siyaset Bilimi ve Uluslararası İlişkiler,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sosyoloji,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Stratejik Pazarlama ve Marka Yönetimi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Su Ürünleri Mühendisliği,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sürdürülebilir Tarım ve Gıda Sistemleri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Sıhhi Tesisat (MYO),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarih,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tarla Bitkileri,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Tarım Alet ve Makineleri (MYO),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tarım Ekonomisi,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarım Makinaları ve Teknolojileri Mühendisliği,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tarım İşletmeciliği,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarımsal Biyoteknoloji Bölümü,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tarımsal Sulama Yönetimi (MYO),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tarımsal Yapılar ve Sulama,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Tasarım ve Basım-Yayımcılık (MYO),0,1,0,0,2,0,0,0,1,1,0,2,0,0,1,1,1,2,0,0,0,1,1,0
Tasarım ve Konstrüksiyon Öğretmenliği,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Teknik Eğitim,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Teknoloji ve Bilgi Yönetimi,0,2,1,1,0,1,1,0,0,0,1,0,2,4,1,2,2,0,0,1,1,0,0,0
Tekstil (MYO),0,0,2,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Tekstil Dokuma ve Örgü Öğretmenliği,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Tekstil Mühendisliği,5,2,4,3,4,3,3,4,2,6,1,1,7,2,3,2,2,2,0,1,3,3,3,2
Tekstil Tasarımı,0,0,2,1,0,0,0,1,0,1,2,1,1,2,0,0,0,1,1,0,1,0,0,1
Tekstil Teknolojisi Bölümü,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Tekstil Terbiye Öğretmenliği,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tekstil Öğretmenliği,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Telekomikasyon Mühendisliği ,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Telekomünikasyon Mühendisliği,1,0,0,1,1,0,0,0,1,0,0,0,2,1,2,2,0,2,0,1,1,1,3,1
Temel Bilimler,0,1,4,1,1,0,0,0,0,1,1,0,4,3,1,1,0,0,0,0,2,1,1,1
Tesisat Teknolojisi (MYO),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toprak Bilimi ve Bitki Besleme,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Turizm İşletmeciliği,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turizm İşletmeciliği ve Otelcilik,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Turizm, Otelcilik",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tıbbi Biyolojik Bilimler ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,1
Tıbbi Laboratuvar (MYO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Tıbbi Laboratuvar Teknikeri  ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tıp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tıp Mühendisliği,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulaştırma ve Lojistik,1,2,0,2,2,0,3,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1
Uluslararası Finans,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Uluslararası Lojistik,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uluslararası Lojistik ve Taşımacılık,1,2,0,2,1,0,2,0,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1
Uluslararası Pazarlama Yönetimi Uzmanlığı,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uluslararası Ticaret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Uluslararası Ticaret ve Lojistik,1,2,0,2,1,0,2,0,1,1,2,0,0,0,1,0,1,1,0,0,0,0,1,2
Uluslararası Ticaret ve İşletmecilik,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Uluslararası İlişkiler,0,0,1,0,0,0,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,2
Uluslararası İlişkiler ve Avrupa Birliği,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Uluslararası İşletmecilik,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Uygulamalı Matematik ve Bilgisayar,0,0,0,0,1,1,0,1,0,1,1,4,0,4,1,4,0,0,0,0,3,0,2,1
Uygulamalı İngilizce-Türkçe Çevirmenlik (MYO),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzay Mühendisliği,2,1,0,1,0,2,1,3,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Uçak Elektrik/Elektroniği,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Uçak Mühendisliği,6,6,7,4,2,6,2,6,5,4,3,3,2,3,5,4,3,1,1,0,2,2,1,3
Uçak Teknolojisi ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Uçak ve Uzay Mühendisliğ,3,2,4,0,0,2,1,5,0,1,1,1,3,0,0,1,2,0,0,0,0,1,0,2
Veri Bilimleri ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Veteriner,2,0,0,1,0,1,0,1,0,0,1,1,2,2,1,0,0,1,0,0,0,1,2,1
Web Tasarımı ve Kodlama ,3,2,1,2,2,2,2,6,3,3,4,3,1,12,13,12,3,0,1,8,12,14,9,12
Yapı Ressamlığı (MYO),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yapı Ressamlığı Öğretmenliği,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
Yapı Tasarımı Öğretmenliği,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Yapı Öğretmenliği,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Yazılım Geliştirme,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1
Yazılım Mühendisliği,50,76,70,78,52,45,63,59,51,54,57,64,89,234,264,268,64,79,35,85,190,164,174,210
Yeni Medya,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Yenilenebilir Enerji Teknolojileri,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Yiyecek-İçecek İşletmeciliği,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0
Yönetim Bilişim Sistemleri,3,10,4,6,6,4,9,4,3,2,6,6,5,28,20,19,10,6,5,7,10,11,14,14
Yönetim Bilişim Sistemleri Mühendisliği,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Ziraat Mühendisliği,0,1,1,3,2,3,0,1,0,3,0,1,0,3,5,3,0,1,1,1,3,1,1,0
e-Ticaret (MYO),0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,1,0,1,2,0
Çalışma Ekonomisi ve Endüstri İlişkileri,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0
Çeviribilim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Çevre Mühendisliği,1,0,3,1,1,1,2,1,2,3,0,0,5,2,2,4,1,0,1,2,3,0,5,2
Çizgi Film (Animasyon),0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,1,0
Üretim Mühendisliği,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,1,0,0,0
Üretimde Kalite Kontrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
İklimlendirme-Soğutma (MYO),2,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1
İktisadi İdari İlimler,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,1,1,0,1,1,1,1,1
İktisat,2,1,0,2,2,1,1,0,1,2,0,2,1,2,3,4,0,2,1,1,5,3,3,6
İktisat (İngilizce),1,0,1,0,1,0,0,0,1,0,0,0,2,1,0,1,0,1,1,0,2,1,2,1
İletişim,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,2,1,1,0,0,2,1,0,1
İletişim Bilimleri,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
İletişim Sanatları,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
İletişim Tasarımı,2,1,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,2,0,1,0,0
İletişim ve Halkla İlişkiler (MYO),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
İletişim ve Tasarım,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1
İmalat Mühendisliği,0,1,3,2,0,2,1,2,3,2,3,3,3,3,2,5,2,1,0,3,2,2,0,2
İngiliz Dilbilimi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
İngiliz Dili ve Edebiyatı,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
İnsan Kaynakları,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
İnternet ve Ağ Teknolojileri (MYO),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
İnşaat (MYO),1,2,0,3,1,2,0,0,1,0,0,1,1,1,1,0,1,2,1,1,0,2,1,1
İnşaat Mühendisliği,9,14,10,11,7,13,8,13,9,8,8,9,16,20,16,21,15,14,8,8,21,17,13,10
İnşaat Teknolojisi,1,1,0,2,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1
İstatistik,2,10,9,6,2,3,8,5,2,5,5,4,15,14,18,17,5,4,5,3,16,19,14,10
İstatistik ve Bilgisayar Bilimleri,4,3,2,3,1,2,4,2,0,4,0,1,4,7,5,5,3,3,3,1,2,5,6,10
İtfaiyecilik ve Yangın Güvenliği (MYO),1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
İthalat-İhracat (MYO),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
İç Mekan Tasarımı,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,1,0,0,0,1,0,0,0,1
İç Mimarlık,2,2,1,2,1,0,0,3,1,3,2,5,3,6,2,2,3,2,1,5,3,6,2,4
İç Mimarlık ve Çevre Tasarımı,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
İşletme,4,6,4,8,6,5,6,5,6,7,3,9,6,4,12,9,8,5,1,3,8,6,4,15
İşletme (Almanca),0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1
İşletme (MYO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
İşletme (İngilizce),1,1,0,2,0,4,1,1,1,0,0,0,2,1,1,2,0,1,2,0,1,2,2,1
İşletme - Ekonomi,0,0,1,2,0,0,1,0,1,0,0,3,3,0,1,0,1,1,1,1,1,1,3,1
İşletme Bilgi Yönetimi,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
İşletme Enformatiği,0,0,4,2,2,0,0,2,0,0,1,0,2,2,1,5,1,1,0,2,0,3,0,2
İşletme Mühendisliği,4,10,10,8,9,5,5,8,4,10,3,7,8,13,15,18,8,7,1,2,13,8,9,16
İşletme Yönetimi,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
İşletme yönetimi ve pazarlama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Şehir Planlama,0,1,1,2,0,1,0,0,0,1,0,0,1,0,0,0,2,1,0,0,2,0,0,0
